ID,business_name,Dine in,Serves food,Serves alcohol,Drinks only,Primarily food,Primarily drinks,Cocktails,beer ,Craft Beer,Draft Beer,Spirits,Wine menu ,Outdoor seating,Takeaway drinks,Heater,By river,LGBT+ Friendly,Family Friendly,Student friendly,Wheelchair accessible ,Rooftop,Good views,Atmospheric ,Cosy,Trendy,Hip,Quirky,Rustic,Casual,Smart,Lively,Fine Dining,Relaxed,Authentic,Snug,Industrial,Impressive,No Frills,Independent,Happy Hour Food,Happy Hour Drinks,Good for kids,Children's menu,Live Music,DJs,Pop-up Events,WiFi,Vegetrian Options,Vegan Options,Fireplace,Late-night Food,visits_count
74,The Blue Lagoon,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,1,0,0,1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,0,-1,0,-1,-1,-1,-1,-1,0,1,0,0,0,1,0,0,0,1,1,-1,0,0
75,The Gallimaufry,1,1,1,1,-1,-1,1,1,1,1,1,1,1,-1,1,-1,0,0,0,1,-1,-1,0,0,-1,0,1,-1,1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,1,1,1,0,1,1,0,0,0
76,Ramen Ya,1,1,1,-1,1,-1,0,1,0,0,0,1,-1,1,-1,-1,0,1,0,0,-1,-1,0,0,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,1,0,0,1,1,-1,-1,-1,1,1,0,-1,0,0
77,Ezo,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,-1,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,1,-1,-1,-1,0,1,0,0,1,-1,-1,-1,-1,0,1,1,-1,0,0
78,Simply Thai,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,0,-1,0,-1,-1,-1,-1,-1,0,0,-1,1,0
79,Eat a Pitta,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,1,1,-1,-1,0
80,Hobgoblin,1,1,1,1,-1,-1,0,1,1,1,1,1,1,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0
81,Purezza,1,1,1,-1,1,-1,1,1,0,0,1,1,-1,1,-1,-1,1,1,0,1,-1,-1,0,0,1,-1,-1,-1,1,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,1,-1,-1,-1,-1,1,1,1,0,0,0
82,La Ruca,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,1,0,0,1,-1,-1,-1,-1,-1,1,0,0,-1,0
83,Miss Millies,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,0
84,Gloucester Road Ale House and Kitchen,1,1,1,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,1,1,0,0,-1,0
85,Industry Bar & Kitchen,1,1,1,1,-1,-1,0,1,1,1,1,1,1,-1,0,-1,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,1,-1,0,-1,0,-1,1,0,-1,0,1,1,0,0,-1,-1,-1,-1,1,1,0,0,-1,0
86,Tincan Coffee Co.,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,1,-1,1,-1,-1,-1,1,0,0,1,1,-1,-1,-1,1,1,0,-1,-1,0
87,La Fiorentina,1,1,1,-1,1,-1,0,1,0,0,0,1,1,1,0,-1,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,0,0,-1,-1,-1,-1,1,0,0,1,-1,-1,-1,-1,1,1,0,-1,0,0
88,The Cider Press,1,1,1,1,-1,-1,0,1,1,1,1,1,1,-1,0,-1,0,0,0,1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,-1,1,0,1,1,1,1,0,0,0
89,The Nectar House,1,1,1,1,1,-1,-1,1,0,0,0,1,1,1,-1,-1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,0,-1,-1,1,0,0,1,-1,0,-1,1,1,1,1,-1,-1,0
90,The Bristol Flyer,1,1,1,1,-1,-1,1,1,1,1,1,1,1,-1,1,-1,0,0,0,1,-1,-1,0,1,-1,-1,-1,-1,1,-1,0,-1,0,-1,-1,-1,-1,-1,0,0,0,0,-1,0,0,1,0,1,1,0,0,0
91,Hobbs House Bakery,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,0
92,Planet Pizza,1,1,1,-1,1,-1,-1,1,0,0,0,1,1,1,-1,-1,0,1,0,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,0,0,1,-1,-1,-1,-1,1,1,1,0,0,0
93,Atomic Burger,1,1,1,-1,1,-1,-1,1,1,0,0,0,1,1,0,-1,0,1,0,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,0,0,0,-1,-1,-1,-1,-1,0,0,0,1,-1,-1,-1,-1,0,1,0,0,1,0
94,Bakers and Co,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,0,0,-1,-1,0
95,The Grace,1,1,1,1,-1,-1,1,1,0,1,1,1,1,-1,0,-1,1,0,0,1,-1,-1,-1,1,-1,-1,-1,-1,1,0,-1,-1,1,-1,-1,-1,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
96,Ciao Burger,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,0,-1,1,0
97,Pho Lounge,1,1,1,-1,1,-1,-1,1,0,0,0,1,-1,1,0,-1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,0,0,1,-1,-1,-1,-1,1,1,0,-1,0,0
98,Bomboloni,1,1,1,0,1,-1,0,1,0,1,0,1,1,1,0,-1,0,1,0,1,-1,-1,0,-1,-1,-1,-1,-1,1,0,0,-1,1,1,-1,-1,-1,-1,1,0,0,1,-1,-1,-1,-1,0,0,0,0,-1,0
99,The Farm,1,1,1,1,-1,-1,0,1,0,1,1,1,1,-1,-1,-1,1,0,0,1,-1,-1,1,-1,-1,0,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,1,1,1,1,1,1,1,0,0
100,St Werburghs City Farm Café,1,1,0,1,-1,-1,0,0,0,0,0,0,1,-1,0,-1,1,1,0,1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,1,0,0,1,1,-1,-1,-1,0,1,1,0,-1,0
101,The Miner's Arms,1,1,1,1,-1,1,0,1,1,1,1,1,1,-1,0,-1,0,0,0,0,-1,-1,0,1,-1,0,0,-1,1,-1,1,-1,1,1,0,-1,-1,-1,1,0,0,0,-1,0,0,1,0,0,0,1,-1,0
102,Wiper and True Brewery,-1,-1,1,1,-1,1,-1,1,1,1,-1,-1,1,1,0,1,0,0,0,0,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0
103,The Cauldron,1,1,1,1,1,-1,1,1,0,0,1,1,1,-1,0,-1,0,0,0,1,-1,-1,0,-1,-1,1,-1,0,1,0,0,-1,1,-1,1,-1,-1,-1,1,0,0,0,-1,-1,-1,-1,0,1,0,-1,0,0
104,Napolita Café,1,1,1,1,1,-1,0,1,0,0,1,1,1,1,0,-1,0,1,0,1,-1,-1,-1,-1,-1,0,-1,0,1,0,-1,-1,1,0,-1,-1,-1,-1,1,0,0,1,-1,-1,-1,-1,0,1,0,-1,1,0
105,Liyas,1,1,0,1,1,-1,0,0,0,0,0,0,1,1,0,-1,0,0,0,0,-1,-1,0,0,0,0,-1,-1,1,0,0,-1,0,1,0,-1,0,-1,1,0,0,0,0,-1,-1,-1,0,0,0,0,0,0
106,Fierce and Noble,1,-1,1,1,-1,1,-1,1,1,1,-1,-1,1,-1,-1,-1,0,0,0,0,-1,0,0,0,0,1,-1,-1,1,-1,0,-1,0,-1,1,1,-1,-1,1,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,0
107,Danny's Burger,1,1,1,0,1,-1,-1,1,0,0,0,0,1,1,0,-1,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,0,0,-1,0,-1,0,1,0,0,1,-1,-1,-1,-1,-1,0,0,0,0,0
108,The Duke of York,1,0,1,1,-1,1,1,1,1,1,1,1,1,-1,0,-1,0,0,0,1,1,-1,0,1,-1,0,1,-1,1,-1,1,-1,0,0,-1,-1,0,-1,1,0,0,0,0,0,0,1,0,0,0,1,0,1
109,Taste of Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Waaberi Restaurant & Takeaway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Coral Café,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,0,0,0,1,-1,-1,-1,-1,-1,0,-1,0,1,-1,-1,-1,0,-1,1,0,-1,0,1,0,0,0,0,-1,-1,-1,0,1,-1,0,-1,0
112,Lickle Jamaica Juice Bar,1,1,0,0,1,-1,0,0,0,0,0,0,-1,1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,0,0,0,0,-1,1,1,0,0,0,0,-1,-1,-1,0,0,0,0,0,0
113,Glen's Kitchen,1,1,0,0,1,-1,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,0,1,-1,0,-1,0,0,0,0,0,-1,-1,-1,-1,0,0,0,-1,-1,0
114,Baba Ganoush Kitchen,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,0,-1,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,0,-1,0,1,0,0,1,0,-1,-1,-1,1,1,1,-1,-1,0
115,New Bristol Brewery,1,-1,1,1,-1,1,-1,1,1,1,-1,1,-1,0,-1,-1,0,0,0,1,-1,-1,0,0,1,1,-1,0,1,0,0,-1,0,0,-1,1,0,-1,1,0,0,-1,-1,0,0,1,0,0,0,0,-1,0
116,Cosies,1,1,1,1,-1,1,0,1,0,1,1,1,1,-1,0,-1,0,0,0,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,0,-1,1,0,0,-1,-1,1,1,1,-1,0,0,0,0,1
117,Farro Bakery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,The Spot Kitchen & Bar,1,1,1,-1,1,-1,1,1,0,1,1,1,0,-1,0,-1,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,0,-1,-1,-1,-1,0,-1,0,0,1,1,-1,-1,-1,1,0,0,0,0,0
119,Sophie Café and Pub Tatra House,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Lakota,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,0,-1,0,0,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,0,-1,1,0,0,-1,-1,1,1,1,-1,0,0,-1,0,0
121,Croft Ales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Flow,1,1,1,-1,1,-1,1,1,0,0,1,1,-1,-1,-1,-1,0,0,0,1,-1,-1,0,1,1,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,1,1,1,0,-1,0
123,The Hare on the Hill,1,1,1,1,-1,1,0,1,1,1,1,1,1,0,0,-1,1,0,0,-1,-1,-1,0,1,-1,0,1,-1,1,0,0,-1,1,0,1,-1,0,-1,0,0,0,-1,-1,1,1,1,0,0,0,0,0,0
124,The Kingsdown Vaults,1,1,1,1,-1,1,-1,1,0,1,1,1,1,-1,0,-1,0,0,0,0,-1,-1,0,1,-1,-1,-1,-1,1,0,-1,-1,1,0,-1,-1,0,-1,0,0,0,0,-1,1,0,1,0,0,0,0,-1,0
125,Bulrush,1,1,1,-1,1,-1,0,1,0,0,0,1,-1,-1,-1,-1,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,0,-1,-1,0,-1,1,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,2
126,Cotham Porter Stores,1,1,1,1,-1,1,0,1,0,1,1,1,-1,1,-1,-1,0,0,0,-1,-1,-1,0,0,-1,-1,0,-1,1,-1,0,-1,1,0,1,-1,-1,-1,0,0,0,0,-1,0,0,0,1,0,0,1,0,0
127,Chilli Bellies,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,0,-1,-1,-1,0,1,0,0,1,1,-1,-1,-1,-1,0,0,-1,1,0
128,The Green Man,1,1,1,1,-1,1,1,1,1,1,1,1,0,0,0,-1,0,0,0,0,-1,-1,0,1,-1,0,0,-1,1,-1,0,-1,1,0,1,-1,-1,-1,1,0,0,0,0,1,0,1,0,0,0,0,0,1
129,Hillgrove Porter Stores,1,1,1,1,-1,-1,0,1,1,1,1,1,1,0,0,-1,0,0,0,-1,-1,-1,1,1,-1,1,1,-1,1,-1,0,-1,1,0,-1,-1,0,-1,1,0,0,0,0,-1,1,1,0,1,0,0,0,1
130,The Bell,1,1,1,1,-1,1,0,1,0,1,1,1,1,0,0,-1,0,0,0,1,-1,-1,0,0,-1,0,0,-1,1,-1,1,-1,0,-1,0,-1,-1,-1,1,0,0,-1,-1,1,1,0,0,0,0,0,0,0
131,Cotham Coffee,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,1,-1,-1,-1,-1,0,1,0,-1,-1,0
132,Micky Beans,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,0,0,1,0,-1,-1,-1,1,1,0,-1,-1,0
133,Chris and Jo's Kitchen,1,1,1,0,1,-1,1,1,1,1,1,1,0,1,0,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,1,-1,-1,-1,-1,0,1,0,0,0,-1,-1,-1,-1,-1,1,0,-1,0,0
134,The White Bear,1,1,1,1,-1,-1,0,1,0,1,1,1,1,-1,0,-1,0,0,0,1,-1,-1,0,1,-1,-1,-1,-1,1,-1,0,-1,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Mocha Mocha,1,1,0,0,1,0,0,0,0,0,0,0,-1,1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,-1,0,-1,0,0,0,0,0,0,-1,-1,-1,0,1,0,-1,-1,0
136,Tio Joao,1,1,1,-1,1,-1,1,1,0,1,1,1,1,1,0,-1,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,0,0,-1,0,0,0,1,1,0,1,1,-1,-1,-1,1,1,0,1,0,0
137,Mooboo,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,0,0,-1,0,0,0,1,-1,-1,-1,-1,-1,1,1,-1,-1,0
138,The Bowl Shed,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,1,0,0,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,1,0,-1,-1,-1,0,1,1,0,-1,0
139,The Cotham Arms,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,0,-1,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,1,-1,0,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
140,Beerd,1,1,1,0,1,-1,-1,1,1,1,1,1,1,1,-1,-1,0,0,0,1,-1,-1,0,-1,0,1,-1,0,1,-1,1,-1,0,0,-1,0,0,-1,0,0,0,0,-1,-1,-1,-1,0,1,0,0,1,0
141,Highbury Vaults,1,1,1,1,-1,-1,0,1,0,1,1,1,1,0,1,-1,0,0,1,1,-1,-1,0,1,-1,0,0,0,1,-1,0,-1,1,0,1,-1,0,-1,-1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0
142,The Robin Hood,1,1,1,1,-1,1,0,1,1,1,1,1,1,-1,1,-1,0,0,1,1,-1,-1,0,0,-1,-1,-1,-1,1,-1,1,-1,1,0,1,-1,0,-1,1,0,0,0,-1,0,0,1,0,0,0,0,0,0
143,The Colston Arms,1,1,1,1,-1,1,-1,1,-1,1,1,1,1,1,1,-1,1,0,1,1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,1,-1,1,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,0,1,1,1,0,0,0
144,Elia Café Bar,1,1,1,-1,1,-1,1,1,0,0,1,1,-1,1,-1,-1,0,1,0,-1,-1,-1,0,1,-1,-1,-1,-1,1,0,0,-1,1,0,1,-1,-1,-1,1,0,0,1,-1,-1,-1,-1,0,1,0,0,0,0
145,FED,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,0,1,1,0,-1,-1,-1,-1,1,1,0,0,1,0,0,-1,1,-1,-1,0,-1,-1,1,0,0,0,-1,-1,-1,-1,0,1,0,0,-1,0
146,Achari Indian Kitchen,1,1,1,-1,1,-1,0,1,0,0,0,1,-1,1,-1,-1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,0,-1,-1,-1,0,1,0,0,1,-1,-1,-1,-1,0,1,0,-1,1,0
147,Jubo Raj,1,1,1,-1,1,-1,-1,1,0,0,0,1,-1,1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,-1,0,0,-1,-1,-1,0,1,0,0,1,-1,-1,-1,-1,0,1,0,0,1,0
148,Pasta Loco,1,1,1,-1,1,-1,1,1,0,0,1,1,-1,-1,-1,-1,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,0,0,0,-1,-1,-1,1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0
149,Crying Wolf,1,1,1,1,-1,1,1,1,0,0,1,1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,0,1,1,1,-1,-1,1,0,0,-1,0,0,1,-1,0,-1,0,0,0,-1,-1,1,0,0,1,0,0,0,0,0
150,Rock Salt,1,1,1,-1,1,-1,1,1,-1,1,1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,0,-1,-1,1,-1,-1,1,0,-1,-1,1,0,-1,-1,-1,-1,1,0,0,1,-1,-1,-1,-1,1,1,1,-1,1,0
151,Muiño,1,1,1,-1,1,-1,1,1,1,0,1,1,-1,1,-1,-1,0,1,0,0,-1,-1,0,-1,-1,-1,-1,1,1,0,0,-1,1,1,1,-1,-1,-1,1,0,0,1,-1,-1,-1,-1,0,1,0,-1,0,0
152,Brewhouse & Kitchen,1,1,1,1,-1,1,1,1,1,1,1,1,0,-1,-1,-1,0,1,0,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,1,0,1,1,0,0,0
153,Rubicon Too,0,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,0,-1,1,-1,-1,-1,-1,-1,1,0,0,1,0,-1,-1,-1,0,0,0,-1,-1,0
154,Bravas,1,1,1,-1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,0,0,0,1,-1,-1,1,1,1,-1,-1,-1,1,0,-1,-1,1,1,-1,-1,0,-1,-1,0,0,0,-1,-1,-1,-1,0,1,1,0,0,0